arrival_to_far_corner_m,area_m2,address_rows,unit_rows,distinct_house_numbers,street,example_address,example_address_last,arrival_lat,arrival_lng,site_centre_lat,site_centre_lng
504.3,92771,1,0,0,Thermal,Thermal Dr Area,Thermal Dr Area,49.270126,-122.834061,49.268499,-122.832824
503.7,63098,1,0,1,Runnel,2635 Runnel Dr,2635 Runnel Dr,49.278850,-122.816153,49.281206,-122.815247
501.3,155043,1,0,1,Quarry,4250 Quarry Rd,4250 Quarry Rd,49.318392,-122.690745,49.316603,-122.692126
501.1,80962,1,0,0,Pipeline,Pipeline Rd,Pipeline Rd,49.312602,-122.771731,49.313770,-122.775073
500.0,39137,1,0,1,Balfour,361 Balfour Dr,361 Balfour Dr,49.244383,-122.821293,49.245373,-122.819950
499.3,28071,1,0,1,Fremont,1177 Fremont St,1177 Fremont St,49.285867,-122.733446,49.282581,-122.731697
496.1,155388,2,0,2,Eagle Mountain,1625 Eagle Mountain Dr,1630 Parkway Blvd,49.304646,-122.814218,49.306035,-122.815375
489.9,27081,1,0,1,Brigantine,1950 Brigantine Dr,1950 Brigantine Dr,49.224737,-122.843056,49.223349,-122.842500
485.4,218322,235,234,1,Barnet,2929 Barnet Hwy,2929 Barnet Hwy Kiosk,49.276937,-122.799557,49.279392,-122.798091
483.2,1055,1,0,1,Eagle Mountain,1735 Eagle Mountain Dr,1735 Eagle Mountain Dr,49.310729,-122.809264,49.309942,-122.802973
478.3,113294,7,6,1,Mariner,500 Mariner Way,500 Mariner Way 6,49.251024,-122.815801,49.250392,-122.819072
477.3,71508,2,0,2,Hastings,3100 Lincoln Ave,3700 Hastings St,49.278464,-122.783888,49.279800,-122.780390
474.7,32840,2,0,2,Gislason,1294 Rocklin St,3561 Gislason Ave,49.289418,-122.737524,49.292095,-122.734547
472.6,43007,1,0,0,Braid,Braid St,Braid St,49.226253,-122.876404,49.225428,-122.873276
463.9,103804,1,0,0,Poirier,Poirier St,Poirier St,49.268497,-122.846384,49.268805,-122.848545
461.7,156422,1,0,1,Quarry,4201 Quarry Rd,4201 Quarry Rd,49.314762,-122.697934,49.316547,-122.698103
459.0,162020,1,0,0,Edwards,Edwards St,Edwards St,49.300256,-122.719918,49.302154,-122.719827
458.5,77640,1,0,0,Eagle Mountain,Eagle Mountain Dr,Eagle Mountain Dr,49.311271,-122.810423,49.309434,-122.810973
454.6,142320,1,0,1,Crouch,3655 Crouch Ave,3655 Crouch Ave,49.296617,-122.725403,49.298755,-122.725402
454.2,78875,1,0,1,Quarry,5000 Quarry Rd,5000 Quarry Rd,49.325837,-122.672437,49.327034,-122.670696
453.1,114376,2,0,1,Coquitlam,502 Lougheed Hwy,Coquitlam,49.250456,-122.801327,49.248233,-122.799798
453.0,13623,1,0,1,Westwood,745 Westwood St,745 Westwood St,49.263084,-122.796087,49.261083,-122.793145
447.5,16651,1,0,1,Johnson,1484 Johnson St,1484 Johnson St,49.300894,-122.796312,49.301709,-122.798305
447.2,31001,1,0,1,Burke Village,3510 Burke Village Prom,3510 Burke Village Prom,49.292447,-122.740780,49.290991,-122.742453
